CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12398,46,85,1635.6599999999999,3,4,4,Loyal Customers
12399,119,59,1108.65,2,4,4,Loyal Customers
12401,303,5,84.3,1,1,1,At Risk
12402,323,11,225.6,1,1,1,At Risk
12403,50,6,409.7,3,1,2,Regular Customers
12405,149,54,1710.39,2,3,4,At Risk
12406,22,108,3280.75,4,4,5,Champions
12407,50,77,1708.1200000000001,3,4,4,Loyal Customers
12408,33,113,2842.57,3,4,5,Loyal Customers
12409,79,114,11056.93,2,4,5,Loyal Customers
12410,301,28,681.0799999999999,1,2,3,At Risk
12412,75,61,1226.88,2,4,4,Loyal Customers
12413,67,40,694.15,3,3,3,Regular Customers
12414,217,18,562.41,1,2,3,At Risk
12415,24,778,123725.45,4,5,5,Champions
12417,3,198,3578.8,5,5,5,Champions
12418,113,34,668.58,2,3,3,At Risk
12420,64,29,600.39,3,2,3,Regular Customers
12421,16,46,806.27,4,3,3,Recent Customers
12422,96,39,803.5600000000001,2,3,3,At Risk
12423,1,126,1849.11,5,5,4,Champions
12424,163,30,1760.96,2,3,4,At Risk
12425,78,36,777.2,2,3,3,At Risk
12426,195,30,582.73,1,3,3,At Risk
12427,12,35,708.37,4,3,3,Recent Customers
12428,26,300,7877.2,4,5,5,Champions
12429,9,97,3750.4,5,4,5,Champions
12430,43,11,256.4,3,1,2,Regular Customers
12431,36,239,6348.89,3,5,5,Loyal Customers
12432,43,108,5059.32,3,4,5,Loyal Customers
12433,1,420,13375.87,5,5,5,Champions
12434,85,54,765.19,2,3,3,At Risk
12435,80,36,7829.89,2,3,5,At Risk
12436,100,16,509.01,2,2,3,At Risk
12437,2,201,4896.66,5,5,5,Champions
12438,14,98,2906.85,4,4,5,Champions
12441,367,11,173.55,1,1,1,At Risk
12442,3,12,172.06,5,1,1,Recent Customers
12444,21,177,5005.46,4,5,5,Champions
12445,22,4,133.4,4,1,1,Recent Customers
12446,58,58,1002.3100000000001,3,3,4,Regular Customers
12447,243,26,476.49,1,2,3,At Risk
12448,44,22,449.45,3,2,2,Regular Customers
12449,22,191,4067.29,4,5,5,Champions
12450,156,8,197.88,2,1,1,At Risk
12451,11,355,8933.52,5,5,5,Champions
12452,17,23,428.57,4,2,2,Recent Customers
12453,134,43,707.09,2,3,3,At Risk
12454,53,30,5.684341886080802e-14,3,3,1,Regular Customers
12455,73,90,2466.86,2,4,5,Loyal Customers
12456,44,129,3153.89,3,5,5,Loyal Customers
12457,58,68,1917.78,3,4,4,Loyal Customers
12458,71,38,947.4,3,3,4,Regular Customers
12461,94,35,826.88,2,3,3,At Risk
12462,2,72,1124.01,5,4,4,Champions
12463,46,88,1303.63,3,4,4,Loyal Customers
12464,10,29,1212.05,5,2,4,Recent Customers
12465,8,51,733.89,5,3,3,Recent Customers
12468,143,40,724.0400000000001,2,3,3,At Risk
12471,2,530,18705.52,5,5,5,Champions
12472,31,391,6229.48,4,5,5,Champions
12473,29,178,2837.73,4,5,5,Champions
12474,17,455,7064.7699999999995,4,5,5,Champions
12475,54,36,723.38,3,3,3,Regular Customers
12476,1,264,6546.58,5,5,5,Champions
12477,23,308,13117.01,4,5,5,Champions
12478,4,36,680.99,5,3,3,Recent Customers
12479,4,35,477.3,5,3,3,Recent Customers
12480,28,154,3281.63,4,5,5,Champions
12481,23,217,5574.36,4,5,5,Champions
12483,17,81,2327.13,4,4,5,Champions
12484,33,347,4480.87,3,5,5,Loyal Customers
12488,10,55,1298.66,5,3,4,Recent Customers
12489,336,15,334.93,1,2,2,At Risk
12490,5,245,5417.93,5,5,5,Champions
12491,39,26,460.40000000000003,3,2,2,Regular Customers
12492,63,20,263.21000000000004,3,2,2,Regular Customers
12493,166,23,416.79,2,2,2,At Risk
12494,10,84,1139.3500000000001,5,4,4,Champions
12497,82,14,1043.1,2,1,4,At Risk
12498,21,23,403.70000000000005,4,2,2,Recent Customers
12500,23,65,4206.27,4,4,5,Champions
12501,315,160,2089.68,1,5,5,Loyal Customers
12502,96,147,3723.87,2,5,5,Loyal Customers
12503,338,1,-1126.0,1,1,1,At Risk
12504,18,15,114.0,4,2,1,Recent Customers
12505,301,1,-4.5,1,1,1,At Risk
12506,233,23,73.5,1,2,1,At Risk
12507,134,23,1258.06,2,2,4,At Risk
12508,26,68,397.88,4,4,2,Loyal Customers
12509,284,7,176.5,1,1,1,At Risk
12510,143,33,982.5699999999999,2,3,4,At Risk
12512,66,31,132.18,3,3,1,Regular Customers
12513,85,36,586.79,2,3,3,At Risk
12514,267,51,1017.68,1,3,4,At Risk
12515,353,16,383.7,1,2,2,At Risk
12516,78,26,1312.06,2,2,4,At Risk
12517,28,281,2443.65,4,5,5,Champions
12518,1,124,2056.89,5,5,5,Champions
12519,64,17,330.84,3,2,2,Regular Customers
12520,79,155,2582.51,2,5,5,Loyal Customers
12521,143,38,599.68,2,3,3,At Risk
12522,39,12,192.72,3,1,1,Regular Customers
12523,2,110,1745.57,5,4,4,Champions
12524,9,144,4485.72,5,5,5,Champions
12526,1,71,1316.66,5,4,4,Champions
12527,82,18,348.71000000000004,2,2,2,At Risk
12528,9,95,1922.28,5,4,4,Champions
12530,60,68,1623.63,3,4,4,Loyal Customers
12531,15,17,125.22,4,2,1,Recent Customers
12532,30,16,349.83000000000004,4,2,2,Recent Customers
12534,131,63,1089.18,2,4,4,Loyal Customers
12535,92,34,716.35,2,3,3,At Risk
12536,8,273,4106.82,5,5,5,Champions
12538,29,21,363.95,4,2,2,Recent Customers
12539,22,274,3852.5,4,5,5,Champions
12540,20,481,13309.039999999999,4,5,5,Champions
12541,30,52,981.18,4,3,4,Recent Customers
12544,30,20,355.7,4,2,2,Recent Customers
12545,75,50,1000.39,2,3,4,At Risk
12546,47,70,1141.5,3,4,4,Loyal Customers
12547,198,8,207.79999999999998,1,1,1,At Risk
12548,166,5,95.19999999999999,2,1,1,At Risk
12550,79,57,964.83,2,3,4,At Risk
12551,358,10,168.0,1,1,1,At Risk
12552,39,20,437.82,3,2,2,Regular Customers
12553,8,196,3652.25,5,5,5,Champions
12556,50,119,599.56,3,4,3,Loyal Customers
12557,16,33,11990.960000000001,4,3,5,Recent Customers
12558,2,22,1.0658141036401503e-14,5,2,1,Recent Customers
12559,311,22,536.21,1,2,3,At Risk
12560,5,111,2101.39,5,4,5,Champions
12561,303,16,238.85,1,2,2,At Risk
12562,8,168,3781.7400000000002,5,5,5,Champions
12564,261,21,456.9,1,2,2,At Risk
12565,282,10,131.17,1,1,1,At Risk
12566,73,20,346.7,2,2,2,At Risk
12567,23,463,9114.94,4,5,5,Champions
12569,2,191,4064.9900000000002,5,5,5,Champions
12571,40,34,519.61,3,3,3,Regular Customers
12572,9,62,1004.72,5,4,4,Champions
12573,227,28,160.54000000000002,1,2,1,At Risk
12574,316,11,218.45,1,1,1,At Risk
12576,36,89,1306.98,3,4,4,Loyal Customers
12577,35,147,564.2,3,5,3,Loyal Customers
12578,21,120,2753.36,4,4,5,Champions
12579,73,31,410.72,2,3,2,At Risk
12580,247,24,415.7,1,2,2,At Risk
12581,40,15,197.71,3,2,1,Regular Customers
12582,239,22,511.36,1,2,3,At Risk
12583,3,251,7187.34,5,5,5,Champions
12584,4,126,1893.95,5,5,4,Champions
12585,234,97,1982.81,1,4,4,Loyal Customers
12586,17,12,179.94000000000003,4,1,1,Recent Customers
12587,8,4,144.0,5,1,1,Recent Customers
12588,39,10,214.89999999999998,3,1,1,Regular Customers
12589,29,35,646.68,4,3,3,Recent Customers
12590,190,70,9861.38,1,4,5,Loyal Customers
12591,317,26,452.84999999999997,1,2,2,At Risk
12592,92,18,437.6,2,2,2,At Risk
12593,109,21,418.09999999999997,2,2,2,At Risk
12594,38,119,3320.2200000000003,3,4,5,Loyal Customers
12596,51,27,618.27,3,2,3,Regular Customers
12597,19,214,3683.13,4,5,5,Champions
12598,10,133,3002.68,5,5,5,Champions
12599,29,62,1032.58,4,4,4,Champions
12600,29,65,2581.04,4,4,5,Champions
12601,190,29,569.5600000000001,1,2,3,At Risk
12602,59,12,153.12,3,1,1,Regular Customers
12603,22,3,739.1999999999999,4,1,3,Recent Customers
12604,79,16,254.18,2,2,2,At Risk
12605,365,3,-7.5,1,1,1,At Risk
12607,58,202,3.552713678800501e-15,3,5,1,Loyal Customers
12609,78,60,1126.85,2,4,4,Loyal Customers
12610,23,111,2057.99,4,4,5,Champions
12611,52,65,1193.32,3,4,4,Loyal Customers
12612,58,21,643.59,3,2,3,Regular Customers
12613,31,163,3218.98,4,5,5,Champions
12614,278,20,315.6,1,2,2,At Risk
12615,2,105,2291.19,5,4,5,Champions
12616,85,36,657.25,2,3,3,At Risk
12617,29,41,352.98,4,3,2,Recent Customers
12618,22,11,177.31,4,1,1,Recent Customers
12619,16,95,3214.81,4,4,5,Champions
12620,15,92,1339.41,4,4,4,Champions
12621,2,474,13612.07,5,5,5,Champions
12622,232,11,180.1,1,1,1,At Risk
12623,276,18,305.1,1,2,2,At Risk
12624,106,38,641.13,2,3,3,At Risk
12625,212,91,2614.32,1,4,5,Loyal Customers
12626,23,307,6388.35,4,5,5,Champions
12627,11,230,4478.53,5,5,5,Champions
12628,4,43,769.61,5,3,3,Recent Customers
12630,10,64,1270.88,5,4,4,Champions
12631,57,31,640.5,3,3,3,Regular Customers
12633,59,103,2140.63,3,4,5,Loyal Customers
12635,90,101,1689.18,2,4,4,Loyal Customers
12637,67,386,5934.25,3,5,5,Loyal Customers
12638,33,39,671.69,3,3,3,Regular Customers
12639,239,22,486.1,1,2,3,At Risk
12640,24,53,1174.58,4,3,4,Recent Customers
12641,115,10,185.9,2,1,1,At Risk
12642,25,47,1013.26,4,3,4,Recent Customers
12643,128,24,3344.64,2,2,5,At Risk
12644,130,31,477.91,2,3,3,At Risk
12645,34,74,1755.38,3,4,4,Loyal Customers
12646,5,45,1346.97,5,3,4,Recent Customers
12647,22,128,3669.92,4,5,5,Champions
12648,155,21,318.05,2,2,2,At Risk
12649,107,33,603.71,2,3,3,At Risk
12650,3,20,314.44,5,2,2,Recent Customers
12651,335,9,114.0,1,1,1,At Risk
12652,322,51,914.53,1,3,4,At Risk
12653,149,43,2209.85,2,3,5,At Risk
12654,11,38,601.98,5,3,3,Recent Customers
12656,17,130,3982.72,4,5,5,Champions
12657,11,56,1152.06,5,3,4,Recent Customers
12658,19,36,686.05,4,3,3,Recent Customers
12659,30,5,91.68,4,1,1,Recent Customers
12660,11,13,245.1,5,1,2,Recent Customers
12662,1,232,3817.08,5,5,5,Champions
12664,8,38,4863.88,5,3,5,Recent Customers
12665,325,4,61.75,1,1,1,At Risk
12666,359,2,-227.44,1,1,1,At Risk
12667,58,33,620.13,3,3,3,Regular Customers
12668,7,168,3743.18,5,5,5,Champions
12669,151,102,1607.73,2,4,4,Loyal Customers
12670,10,94,2986.15,5,4,5,Champions
12672,330,10,225.89999999999998,1,1,1,At Risk
12673,5,42,610.52,5,3,3,Recent Customers
12674,12,90,1922.26,4,4,4,Champions
12676,25,45,1331.39,4,3,4,Recent Customers
12678,42,167,17588.26,3,5,5,Loyal Customers
12679,52,56,1058.67,3,3,4,Regular Customers
12680,1,52,862.81,5,3,3,Recent Customers
12681,15,646,13677.59,4,5,5,Champions
12682,4,524,12279.82,5,5,5,Champions
12683,4,362,8221.09,5,5,5,Champions
12684,8,105,2283.63,5,4,5,Champions
12685,28,157,2863.08,4,5,5,Champions
12686,372,7,89.14,1,1,1,At Risk
12688,114,171,4873.8099999999995,2,5,5,Loyal Customers
12689,26,72,1247.61,4,4,4,Champions
12690,206,16,389.01,1,2,2,At Risk
12691,28,32,1035.8,4,3,4,Recent Customers
12693,121,41,830.96,2,3,3,At Risk
12694,70,37,869.67,3,3,3,Regular Customers
12695,7,27,582.1,5,2,3,Recent Customers
12697,21,43,939.02,4,3,4,Recent Customers
12700,8,270,4867.99,5,5,5,Champions
12701,80,53,797.71,2,3,3,At Risk
12702,20,12,219.0,4,1,1,Recent Customers
12703,64,22,274.7,3,2,2,Regular Customers
12704,7,90,2220.84,5,4,5,Champions
12705,15,348,6814.24,4,5,5,Champions
12707,292,33,603.42,1,3,3,At Risk
12708,30,174,2616.32,4,5,5,Champions
12709,3,256,9264.1,5,5,5,Champions
12710,97,79,1130.57,2,4,4,Loyal Customers
12712,23,142,4241.63,4,5,5,Champions
12713,1,38,848.55,5,3,3,Recent Customers
12714,9,259,4708.86,5,5,5,Champions
12715,106,20,343.36,2,2,2,At Risk
12716,4,69,1053.49,5,4,4,Champions
12717,151,56,980.98,2,3,4,At Risk
12718,71,19,238.25,3,2,2,Regular Customers
12719,5,42,608.1,5,3,3,Recent Customers
12720,3,359,5713.28,5,5,5,Champions
12721,32,164,2628.98,4,5,5,Champions
12722,85,57,904.33,2,3,4,At Risk
12723,4,69,725.07,5,4,3,Loyal Customers
12724,5,53,1031.41,5,3,4,Recent Customers
12725,371,24,427.8,1,2,2,At Risk
12726,28,124,2609.1,4,5,5,Champions
12727,11,141,3947.7,5,5,5,Champions
12728,71,46,836.33,3,3,3,Regular Customers
12729,114,26,453.01,2,2,2,At Risk
12731,24,277,18793.41,4,5,5,Champions
12732,180,12,236.26000000000002,1,1,2,At Risk
12733,234,22,383.95,1,2,2,At Risk
12734,353,4,110.39999999999999,1,1,1,At Risk
12735,315,43,779.5699999999999,1,3,3,At Risk
12736,333,4,234.0,1,1,2,At Risk
12738,372,11,155.35,1,1,1,At Risk
12739,78,38,1013.04,2,3,4,At Risk
12740,64,27,427.6,3,2,2,Regular Customers
12743,134,131,540.13,2,5,3,Loyal Customers
12744,52,229,9120.39,3,5,5,Loyal Customers
12747,2,103,4196.01,5,4,5,Champions
12748,1,4459,28405.56,5,5,5,Champions
12749,4,231,3868.2,5,5,5,Champions
12750,129,15,275.88,2,2,2,At Risk
12752,81,53,4366.78,2,3,5,At Risk
12753,4,230,21024.01,5,5,5,Champions
12754,236,65,2949.12,1,4,5,Loyal Customers
12755,250,6,2203.2,1,1,5,At Risk
12756,87,4,112.07999999999998,2,1,1,At Risk
12757,16,370,4205.25,4,5,5,Champions
12758,117,97,2791.59,2,4,5,Loyal Customers
12759,52,95,1531.44,3,4,4,Loyal Customers
12762,8,69,1898.52,5,4,4,Champions
12763,138,18,494.08,2,2,3,At Risk
12764,317,45,1693.88,1,3,4,At Risk
12766,4,310,6989.63,5,5,5,Champions
12769,239,32,1143.6,1,3,4,At Risk
12770,211,12,1351.45,1,1,4,At Risk
12772,60,55,892.47,3,3,3,Regular Customers
12775,17,67,1351.24,4,4,4,Champions
12778,20,51,804.23,4,3,3,Recent Customers
12779,21,159,3868.7,4,5,5,Champions
12781,21,30,707.72,4,3,3,Recent Customers
12782,5,107,2273.32,5,4,5,Champions
12783,2,86,1603.87,5,4,4,Champions
12784,9,57,532.8199999999999,5,3,3,Recent Customers
12785,3,15,305.71,5,2,2,Recent Customers
12787,10,20,463.66,5,2,3,Recent Customers
12789,65,4,91.85,3,1,1,Regular Customers
12790,192,21,324.92,1,2,2,At Risk
12791,374,2,192.60000000000002,1,1,1,At Risk
12792,257,25,400.53999999999996,1,2,2,At Risk
12793,335,24,545.48,1,2,3,At Risk
12794,53,45,860.41,3,3,3,Regular Customers
12795,19,14,430.48,4,1,2,Recent Customers
12797,360,17,194.18,1,2,1,At Risk
12798,10,8,6977.04,5,1,5,Recent Customers
12802,184,26,412.58,1,2,2,At Risk
12808,37,28,483.65000000000003,3,2,3,Regular Customers
12809,168,26,484.36,2,2,3,At Risk
12811,261,31,514.85,1,3,3,At Risk
12812,45,15,229.64000000000001,3,2,1,Regular Customers
12814,102,2,125.92,2,1,1,At Risk
12815,148,47,1063.46,2,3,4,At Risk
12816,96,29,572.2,2,2,3,At Risk
12817,281,4,166.04,1,1,1,At Risk
12818,178,16,1517.88,2,2,4,At Risk
12820,3,59,942.34,5,4,4,Champions
12821,214,6,92.72,1,1,1,At Risk
12822,71,47,918.98,3,3,4,Regular Customers
12823,75,5,1759.5,2,1,4,At Risk
12824,60,25,397.12,3,2,2,Regular Customers
12826,3,94,1468.1200000000001,5,4,4,Champions
12827,6,25,430.15000000000003,5,2,2,Recent Customers
12828,3,56,1018.71,5,3,4,Recent Customers
12829,322,12,253.05,1,1,2,At Risk
12830,38,39,6748.4,3,3,5,Regular Customers
12831,262,9,215.05,1,1,1,At Risk
12832,32,27,383.03,4,2,2,Recent Customers
12833,145,24,417.38,2,2,2,At Risk
12834,283,18,312.38,1,2,2,At Risk
12836,59,174,2610.36,3,5,5,Loyal Customers
12837,173,12,134.1,2,1,1,At Risk
12838,34,120,671.95,3,4,3,Loyal Customers
12839,3,316,5583.62,5,5,5,Champions
12840,144,116,2714.27,2,4,5,Loyal Customers
12841,5,433,3845.63,5,5,5,Champions
12842,70,34,1118.99,3,3,4,Regular Customers
12843,66,108,1680.76,3,4,4,Loyal Customers
12844,29,52,325.96000000000004,4,3,2,Recent Customers
12845,267,27,354.09,1,2,2,At Risk
12847,22,84,843.64,4,4,3,Loyal Customers
12849,31,48,1010.29,4,3,4,Recent Customers
12851,97,47,131.81,2,3,1,At Risk
12852,290,20,299.75,1,2,2,At Risk
12853,108,84,1881.7,2,4,4,Loyal Customers
12854,79,114,1280.9,2,4,4,Loyal Customers
12855,373,3,38.1,1,1,1,At Risk
12856,8,314,2153.53,5,5,5,Champions
12857,211,46,1106.4,1,3,4,At Risk
12863,52,6,504.2,3,1,3,Regular Customers
12864,138,3,147.12,2,1,1,At Risk
12865,26,96,1548.07,4,4,4,Champions
12866,283,26,559.12,1,2,3,At Risk
12867,26,547,3958.74,4,5,5,Champions
12868,186,107,1607.0600000000002,1,4,4,Loyal Customers
12870,366,2,-14.899999999999999,1,1,1,At Risk
12871,84,11,380.64,2,1,2,At Risk
12872,327,66,599.97,1,4,3,Loyal Customers
12873,282,4,374.0,1,1,2,At Risk
12875,143,2,343.2300000000001,2,1,2,At Risk
12876,58,85,2218.02,3,4,5,Loyal Customers
12877,4,154,1535.77,5,5,4,Champions
12878,18,49,841.64,4,3,3,Recent Customers
12879,45,12,552.5699999999999,3,1,3,Regular Customers
12881,276,7,298.0,1,1,2,At Risk
12882,9,13,1463.04,5,1,4,Recent Customers
12883,25,42,703.47,4,3,3,Recent Customers
12884,88,7,309.05,2,1,2,At Risk
12885,63,72,1158.27,3,4,4,Loyal Customers
12886,68,86,1351.09,3,4,4,Loyal Customers
12888,214,7,313.77,1,1,2,At Risk
12890,24,79,376.71999999999997,4,4,2,Loyal Customers
12891,186,3,331.0,1,1,2,At Risk
12893,31,31,176.55,4,3,1,Recent Customers
12895,42,24,347.3,3,2,2,Regular Customers
12897,205,4,216.5,1,1,1,At Risk
12901,9,125,16293.1,5,5,5,Champions
12902,265,10,138.68,1,1,1,At Risk
12904,18,71,496.06,4,4,3,Loyal Customers
12906,12,63,2919.81,4,4,5,Champions
12908,59,4,246.0,3,1,2,Regular Customers
12909,40,96,2128.83,3,4,5,Loyal Customers
12910,23,75,3075.04,4,4,5,Champions
12912,3,24,1662.3,5,2,4,Recent Customers
12913,5,50,2483.63,5,3,5,Recent Customers
12915,149,22,363.65,2,2,2,At Risk
12916,139,105,2921.15,2,4,5,Loyal Customers
12917,128,2,594.0,2,1,3,At Risk
12919,8,52,1301.44,5,3,4,Recent Customers
12920,17,27,162.78,4,2,1,Recent Customers
12921,4,741,16389.74,5,5,5,Champions
12922,161,28,405.38,2,2,2,At Risk
12923,64,28,172.82,3,2,1,Regular Customers
12924,88,31,929.95,2,3,4,At Risk
12925,5,45,694.05,5,3,3,Recent Customers
12928,35,84,2062.7000000000003,3,4,5,Loyal Customers
12929,122,9,105.1,2,1,1,At Risk
12930,78,27,409.9,2,2,2,At Risk
12931,22,102,33462.81,4,4,5,Champions
12933,24,107,606.28,4,4,3,Loyal Customers
12935,2,130,2156.45,5,5,5,Champions
12936,17,63,1012.9,4,4,4,Champions
12937,15,120,1504.27,4,4,4,Champions
12938,26,9,114.14,4,1,1,Recent Customers
12939,64,47,11581.8,3,3,5,Regular Customers
12940,46,100,862.44,3,4,3,Loyal Customers
12942,131,70,675.6,2,4,3,Loyal Customers
12943,301,1,-3.75,1,1,1,At Risk
12944,36,30,604.51,3,3,3,Regular Customers
12945,288,23,462.95,1,2,2,At Risk
12947,144,103,1407.29,2,4,4,Loyal Customers
12948,16,118,2053.7,4,4,5,Champions
12949,31,219,4143.02,4,5,5,Champions
12950,2,23,1843.0,5,2,4,Recent Customers
12951,9,65,1042.07,5,4,4,Champions
12952,6,80,1382.8400000000001,5,4,4,Champions
12953,10,17,329.85,5,2,2,Recent Customers
12955,1,183,4734.26,5,5,5,Champions
12956,306,19,108.07,1,2,1,At Risk
12957,4,244,3979.04,5,5,5,Champions
12962,7,16,266.39,5,2,2,Recent Customers
12963,8,96,1841.03,5,4,4,Champions
12965,89,108,769.8100000000001,2,4,3,Loyal Customers
12966,10,10,160.18,5,1,1,Recent Customers
12967,3,33,1194.75,5,3,4,Recent Customers
12968,112,5,135.95,2,1,1,At Risk
12970,7,129,405.47,5,5,2,Loyal Customers
12971,4,308,10930.26,5,5,5,Champions
12974,198,8,144.8,1,1,1,At Risk
12976,212,22,738.6,1,2,3,At Risk
12977,156,9,39.239999999999995,2,1,1,At Risk
12980,156,24,7092.06,2,2,5,At Risk
12981,30,20,372.21999999999997,4,2,2,Recent Customers
12982,240,34,377.2,1,3,2,At Risk
12984,19,4,97.5,4,1,1,Recent Customers
12985,1,78,1215.6200000000001,5,4,4,Champions
12987,74,30,545.0,2,3,3,At Risk
12988,292,83,505.82,1,4,3,Loyal Customers
12989,3,68,6854.51,5,4,5,Champions
12990,31,13,409.5,4,1,2,Recent Customers
12991,23,31,503.76,4,3,3,Recent Customers
12993,23,27,414.76,4,2,2,Recent Customers
12994,4,73,902.22,5,4,3,Loyal Customers
12995,78,5,200.72,2,1,1,At Risk
12997,22,67,1197.94,4,4,4,Champions
12999,196,28,455.88,1,2,2,At Risk
13000,107,31,534.85,2,3,3,At Risk
13001,4,340,9765.07,5,5,5,Champions
13002,318,7,120.94999999999999,1,1,1,At Risk
13003,106,6,149.05,2,1,1,At Risk
13004,12,409,5613.43,4,5,5,Champions
13005,174,29,468.95,2,2,3,At Risk
13006,56,4,81.57,3,1,1,Regular Customers
13008,323,15,178.46999999999997,1,2,1,At Risk
13011,372,3,50.550000000000004,1,1,1,At Risk
13012,9,106,1296.6200000000001,5,4,4,Champions
13013,1,222,4786.99,5,5,5,Champions
13014,3,124,3365.43,5,5,5,Champions
13015,53,175,3339.64,3,5,5,Loyal Customers
13016,73,47,789.89,2,3,3,At Risk
13017,7,1,204.0,5,1,1,Recent Customers
13018,16,459,7272.75,4,5,5,Champions
13021,4,134,2584.4,5,5,5,Champions
13023,64,40,689.9,3,3,3,Regular Customers
13026,1,43,936.15,5,3,4,Recent Customers
13027,114,26,6912.0,2,2,5,At Risk
13028,23,47,659.68,4,3,3,Recent Customers
13029,31,10,1247.5,4,1,4,Recent Customers
13030,11,92,752.4399999999999,5,4,3,Loyal Customers
13032,39,75,996.52,3,4,4,Loyal Customers
13033,357,11,190.55,1,1,1,At Risk
13034,55,37,642.77,3,3,3,Regular Customers
13035,58,30,886.63,3,3,3,Regular Customers
13037,138,48,881.07,2,3,3,At Risk
13038,80,28,908.46,2,2,4,At Risk
13040,9,43,676.99,5,3,3,Recent Customers
13043,254,14,471.57,1,1,3,At Risk
13044,291,33,560.47,1,3,3,At Risk
13045,99,18,305.28000000000003,2,2,2,At Risk
13046,31,35,629.31,4,3,3,Recent Customers
13047,32,196,3079.1,4,5,5,Champions
13048,14,136,1789.41,4,5,4,Champions
13049,64,14,656.6800000000001,3,1,3,Regular Customers
13050,9,422,5684.61,5,5,5,Champions
13052,212,18,348.15000000000003,1,2,2,At Risk
13055,64,78,1201.96,3,4,4,Loyal Customers
13058,25,8,271.40000000000003,4,1,2,Recent Customers
13059,250,8,183.4,1,1,1,At Risk
13060,254,15,307.53,1,2,2,At Risk
13061,72,10,248.61,2,1,2,At Risk
13062,191,11,346.98,1,1,2,At Risk
13064,13,68,1105.59,4,4,4,Champions
13065,373,14,205.86,1,1,1,At Risk
13066,24,49,430.9,4,3,2,Recent Customers
13067,82,15,115.46000000000001,2,2,1,At Risk
13068,10,2,344.0,5,1,2,Recent Customers
13069,1,469,3713.14,5,5,5,Champions
13070,192,9,228.8,1,1,1,At Risk
13072,267,7,177.15,1,1,1,At Risk
13075,130,22,919.61,2,2,4,At Risk
13077,1,111,728.02,5,4,3,Loyal Customers
13078,1,380,12432.28,5,5,5,Champions
13079,4,6,220.10000000000002,5,1,1,Recent Customers
13080,179,6,58.08,1,1,1,At Risk
13081,1,1061,27964.48,5,5,5,Champions
13082,126,75,3595.48,2,4,5,Loyal Customers
13083,4,18,303.75,5,2,2,Recent Customers
13085,158,29,272.38,2,2,2,At Risk
13089,3,1853,57322.13,5,5,5,Champions
13090,9,161,8689.39,5,5,5,Champions
13091,21,24,319.82,4,2,2,Recent Customers
13092,71,26,459.83,3,2,2,Regular Customers
13093,267,170,7741.47,1,5,5,Loyal Customers
13094,21,30,1708.8600000000001,4,3,4,Recent Customers
13095,71,6,74.39999999999999,3,1,1,Regular Customers
13097,33,435,5886.12,3,5,5,Loyal Customers
13098,1,605,28658.88,5,5,5,Champions
13099,99,1,207.35999999999999,2,1,1,At Risk
13101,234,8,101.19,1,1,1,At Risk
13102,1,310,6336.29,5,5,5,Champions
13103,40,8,243.94,3,1,2,Regular Customers
13104,3,20,1098.48,5,2,4,Recent Customers
13106,129,2,59.5,2,1,1,At Risk
13107,44,60,1524.07,3,4,4,Loyal Customers
13108,373,10,350.06,1,1,2,At Risk
13109,3,50,766.84,5,3,3,Recent Customers
13110,31,146,1452.8700000000001,4,5,4,Champions
