InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month,Day
548198,22993,SET OF 4 PANTRY JELLY MOULDS,3,2011-03-29 16:05:00,1.25,16712,United Kingdom,3.75,2011,3,29
550327,85114A,BLACK ENCHANTED FOREST PLACEMAT,6,2011-04-17 13:07:00,1.65,12878,United Kingdom,9.899999999999999,2011,4,17
539988,22938,CUPCAKE LACE PAPER SET 6,2,2010-12-23 16:06:00,1.95,18116,United Kingdom,3.9,2010,12,23
570482,22867,HAND WARMER BIRD DESIGN,1,2011-10-10 17:00:00,2.1,17459,United Kingdom,2.1,2011,10,10
567637,23423,PANTRY 3 HOOK ROLLING PIN HANGER,6,2011-09-21 13:57:00,3.75,17865,United Kingdom,22.5,2011,9,21
574063,22123,PING MICROWAVE APRON,1,2011-11-02 14:31:00,1.95,13271,United Kingdom,1.95,2011,11,2
566580,22838,3 TIER CAKE TIN RED AND CREAM,2,2011-09-13 13:46:00,14.95,12822,United Kingdom,29.9,2011,9,13
548716,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-04-03 15:50:00,4.95,14023,United Kingdom,14.850000000000001,2011,4,3
564972,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-08-31 15:30:00,2.89,12621,Germany,34.68,2011,8,31
545070,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2011-02-27 15:42:00,1.45,16493,United Kingdom,34.8,2011,2,27
542713,22059,CERAMIC STRAWBERRY DESIGN MUG,12,2011-01-31 13:27:00,1.49,12668,Germany,17.88,2011,1,31
569246,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-10-03 09:57:00,1.25,14096,United Kingdom,1.25,2011,10,3
565854,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-09-07 13:22:00,0.85,12490,France,10.2,2011,9,7
569234,22807,SET OF 6 T-LIGHTS TOADSTOOLS,1,2011-10-02 15:33:00,2.95,17841,United Kingdom,2.95,2011,10,2
561028,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-07-24 11:06:00,1.69,17769,United Kingdom,13.52,2011,7,24
580160,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-12-02 10:47:00,0.85,12700,France,8.5,2011,12,2
540122,84817,DANISH ROSE DECORATIVE PLATE,120,2011-01-05 10:39:00,0.42,13694,United Kingdom,50.4,2011,1,5
547842,35241,ENAMEL BLUE RIM BISCUIT BIN,3,2011-03-27 11:14:00,4.95,13875,United Kingdom,14.850000000000001,2011,3,27
573175,22633,HAND WARMER UNION JACK,12,2011-10-28 10:27:00,2.1,15096,United Kingdom,25.200000000000003,2011,10,28
566420,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-09-12 13:50:00,1.65,16360,United Kingdom,3.3,2011,9,12
554770,20725,LUNCH BAG RED RETROSPOT,10,2011-05-26 11:40:00,1.65,14911,EIRE,16.5,2011,5,26
568480,23250,VINTAGE RED TRIM ENAMEL BOWL ,12,2011-09-27 11:52:00,1.25,17490,United Kingdom,15.0,2011,9,27
551028,22505,MEMO BOARD COTTAGE DESIGN,4,2011-04-26 11:30:00,4.95,13842,United Kingdom,19.8,2011,4,26
553149,23167,SMALL CERAMIC TOP STORAGE JAR ,12,2011-05-13 14:16:00,0.83,14226,United Kingdom,9.959999999999999,2011,5,13
557972,85099B,JUMBO BAG RED RETROSPOT,10,2011-06-24 10:16:00,2.08,12500,Germany,20.8,2011,6,24
538991,22310,IVORY KNITTED MUG COSY ,50,2010-12-15 11:53:00,1.45,17511,United Kingdom,72.5,2010,12,15
538014,72741,GRAND CHOCOLATECANDLE,18,2010-12-09 12:49:00,1.45,14440,United Kingdom,26.099999999999998,2010,12,9
574249,23424,GINGHAM RECIPE BOOK BOX,2,2011-11-03 13:01:00,4.95,16347,United Kingdom,9.9,2011,11,3
581074,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-12-07 11:27:00,0.42,15568,United Kingdom,10.08,2011,12,7
560504,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-07-19 11:47:00,1.25,13081,United Kingdom,15.0,2011,7,19
564079,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,2011-08-22 15:55:00,2.95,12627,Germany,17.700000000000003,2011,8,22
574882,15056P,EDWARDIAN PARASOL PINK,1,2011-11-07 13:45:00,5.95,13599,United Kingdom,5.95,2011,11,7
560922,22991,GIRAFFE WOODEN RULER,12,2011-07-21 19:34:00,1.95,14911,EIRE,23.4,2011,7,21
569566,22737,RIBBON REEL CHRISTMAS PRESENT ,20,2011-10-05 09:55:00,1.65,14739,United Kingdom,33.0,2011,10,5
576075,21240,BLUE POLKADOT CUP,3,2011-11-13 16:16:00,0.85,15861,United Kingdom,2.55,2011,11,13
563362,22534,MAGIC DRAWING SLATE SPACEBOY ,24,2011-08-15 16:13:00,0.42,15114,United Kingdom,10.08,2011,8,15
553730,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-05-19 07:49:00,0.42,16525,United Kingdom,10.08,2011,5,19
553385,23174,REGENCY SUGAR BOWL GREEN,1,2011-05-16 15:53:00,4.15,16710,United Kingdom,4.15,2011,5,16
571064,23356,LOVE HOT WATER BOTTLE,1,2011-10-13 14:48:00,5.95,17181,United Kingdom,5.95,2011,10,13
543923,22931,BAKING MOULD HEART WHITE CHOCOLATE,6,2011-02-14 14:14:00,2.55,14644,United Kingdom,15.299999999999999,2011,2,14
571099,21982,PACK OF 12 SUKI TISSUES ,48,2011-10-13 15:43:00,0.39,13911,United Kingdom,18.72,2011,10,13
543555,22796,PHOTO FRAME 3 CLASSIC HANGING,4,2011-02-10 10:18:00,9.95,17686,United Kingdom,39.8,2011,2,10
561205,22624,IVORY KITCHEN SCALES,2,2011-07-25 15:48:00,8.5,17693,United Kingdom,17.0,2011,7,25
581451,21258,VICTORIAN SEWING BOX LARGE,1,2011-12-08 17:57:00,12.75,17144,United Kingdom,12.75,2011,12,8
565648,21172,PARTY METAL SIGN ,1,2011-09-05 16:22:00,1.45,18196,United Kingdom,1.45,2011,9,5
568400,22470,HEART OF WICKER LARGE,6,2011-09-27 10:27:00,2.95,13644,United Kingdom,17.700000000000003,2011,9,27
C579894,23012,GLASS APOTHECARY BOTTLE PERFUME,-1,2011-12-01 08:26:00,3.95,13098,United Kingdom,-3.95,2011,12,1
567066,22679,FRENCH BLUE METAL DOOR SIGN 4,10,2011-09-16 12:17:00,1.25,13418,United Kingdom,12.5,2011,9,16
568186,22513,DOORSTOP FOOTBALL DESIGN,2,2011-09-25 14:08:00,3.75,17837,United Kingdom,7.5,2011,9,25
562721,22920,HERB MARKER BASIL,24,2011-08-08 16:31:00,0.65,15985,United Kingdom,15.600000000000001,2011,8,8
542517,22088,PAPER BUNTING COLOURED LACE,40,2011-01-28 12:11:00,2.55,13694,United Kingdom,102.0,2011,1,28
569843,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-10-06 13:29:00,3.75,14449,United Kingdom,3.75,2011,10,6
574700,23511,EMBROIDERED RIBBON REEL EMILY ,2,2011-11-06 13:53:00,2.08,16033,United Kingdom,4.16,2011,11,6
567308,21213,PACK OF 72 SKULL CAKE CASES,120,2011-09-19 13:35:00,0.42,16422,United Kingdom,50.4,2011,9,19
570272,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-10-10 10:45:00,1.25,14297,United Kingdom,15.0,2011,10,10
554151,20726,LUNCH BAG WOODLAND,10,2011-05-23 11:07:00,1.65,14049,United Kingdom,16.5,2011,5,23
553942,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-05-20 10:37:00,1.45,18055,United Kingdom,17.4,2011,5,20
569246,21790,VINTAGE SNAP CARDS,1,2011-10-03 09:57:00,1.63,14096,United Kingdom,1.63,2011,10,3
572675,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2011-10-25 13:20:00,2.95,17917,United Kingdom,5.9,2011,10,25
559032,22711,WRAP CIRCUS PARADE,25,2011-07-05 14:53:00,0.42,17511,United Kingdom,10.5,2011,7,5
539593,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,2010-12-20 13:31:00,2.55,13319,United Kingdom,30.599999999999998,2010,12,20
552947,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-05-12 11:57:00,5.95,16943,United Kingdom,11.9,2011,5,12
C581390,21733,RED HANGING HEART T-LIGHT HOLDER,-3,2011-12-08 13:13:00,2.55,13081,United Kingdom,-7.6499999999999995,2011,12,8
550350,47566,PARTY BUNTING,8,2011-04-18 10:04:00,4.95,15491,United Kingdom,39.6,2011,4,18
C552556,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-24,2011-05-10 11:21:00,0.85,17504,United Kingdom,-20.4,2011,5,10
554365,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,6,2011-05-24 10:22:00,3.29,13089,United Kingdom,19.740000000000002,2011,5,24
544790,21240,BLUE POLKADOT CUP,8,2011-02-23 12:27:00,0.85,16940,United Kingdom,6.8,2011,2,23
577317,20727,LUNCH BAG  BLACK SKULL.,2,2011-11-18 13:33:00,1.65,16426,United Kingdom,3.3,2011,11,18
559139,21500,PINK POLKADOT WRAP ,50,2011-07-06 13:41:00,0.42,15061,United Kingdom,21.0,2011,7,6
538449,21733,RED HANGING HEART T-LIGHT HOLDER,4,2010-12-12 12:24:00,2.95,17085,United Kingdom,11.8,2010,12,12
540953,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,2011-01-12 13:16:00,1.25,14587,United Kingdom,1.25,2011,1,12
554991,23204,CHARLOTTE BAG APPLES DESIGN,1,2011-05-29 14:03:00,0.85,14823,United Kingdom,0.85,2011,5,29
568062,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-23 13:18:00,0.55,14014,United Kingdom,13.200000000000001,2011,9,23
537332,84971S,SMALL HEART FLOWERS HOOK ,24,2010-12-06 11:58:00,0.85,14344,United Kingdom,20.4,2010,12,6
580727,21370,MIRRORED WALL ART FOXY,1,2011-12-05 17:17:00,12.46,14096,United Kingdom,12.46,2011,12,5
540121,20704,MR ROBOT SOFT TOY,24,2011-01-05 10:35:00,1.95,16145,United Kingdom,46.8,2011,1,5
548178,47566,PARTY BUNTING,12,2011-03-29 14:35:00,4.95,14367,United Kingdom,59.400000000000006,2011,3,29
548340,22029,SPACEBOY BIRTHDAY CARD,12,2011-03-30 14:23:00,0.42,13426,United Kingdom,5.04,2011,3,30
540753,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-01-11 10:31:00,4.25,14217,United Kingdom,17.0,2011,1,11
560914,47566,PARTY BUNTING,4,2011-07-21 18:08:00,4.95,17175,United Kingdom,19.8,2011,7,21
542611,82581,TOILET METAL SIGN,25,2011-01-30 14:13:00,0.55,15415,United Kingdom,13.750000000000002,2011,1,30
547834,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,2011-03-27 10:16:00,8.5,17937,United Kingdom,204.0,2011,3,27
562101,20723,STRAWBERRY CHARLOTTE BAG,10,2011-08-02 14:04:00,0.85,13850,United Kingdom,8.5,2011,8,2
544610,21621,VINTAGE UNION JACK BUNTING,2,2011-02-22 10:09:00,8.5,16912,United Kingdom,17.0,2011,2,22
553202,21915,RED  HARMONICA IN BOX ,16,2011-05-15 16:02:00,1.25,15854,United Kingdom,20.0,2011,5,15
580672,22210,WOOD STAMP SET BEST WISHES,2,2011-12-05 14:29:00,0.83,17920,United Kingdom,1.66,2011,12,5
577495,22493,PAINT YOUR OWN CANVAS SET,1,2011-11-20 12:20:00,1.65,14704,United Kingdom,1.65,2011,11,20
567043,22219,LOVEBIRD HANGING DECORATION WHITE ,8,2011-09-16 11:27:00,0.85,13268,United Kingdom,6.8,2011,9,16
571732,23330,DECORATIVE WICKER HEART MEDIUM,12,2011-10-19 09:58:00,1.25,16298,United Kingdom,15.0,2011,10,19
